Asal kota;Kota tujuan;Jarak;Durasi Perjalanan;Rute
Kota Kediri; Kabupaten Tuban;132 km;3 hours 9 mins;"Head east on Jl. Sunan Ampel III toward Jl. Sumber | Turn left onto Jl. Sumber | Turn left onto Jl. Perintis Kemerdekaan | Turn right after Masjid Nurul Huda (on the right)Pass by Indomaret Urip Sumoharjo Kediri (on the right in 650m) | Continue onto Jl. Panglima Sudirman | Turn left onto Jl. Kertosono-Kediri/Jl. Kertosono - Tulungagung/Jl. Yos SudarsoPass by Toko Mekar Jaya (on the right in 1.1 km) | Continue straight onto Jl. Kertosono-Kediri/Jl. Kertosono - Tulungagung/Jl. Mayjend Sungkono/Jl. Mayor Jend. SungkonoContinue to follow Jl. Kertosono-Kediri | Turn right onto Jl. Panglima Sudirman/Jl. Raya Baron/Jl. Raya Surabaya/Jl. Raya Surabaya - MadiunContinue to follow Jl. Panglima Sudirman/Jl. Raya Surabaya/Jl. Raya Surabaya - MadiunPass by Toko Okky (on the right) | Continue straight onto Jl. Panglima Sudirman/Jl. Raya Kayen/Jl. Raya Surabaya - Madiun | Slight <b>left</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>right</b> at the fork, follow signs for <b>Jombang</b>/<wbr/><b>Mojokerto</b>/<wbr/><b>Surabaya</b> and merge onto <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | Take the <b>25</b> exit toward <b>Jombang</b>/<wbr/><b>Ploso</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Jombang - Mojokerto</b><div style=""font-size:0.9em"">Toll road</div> | Turn right onto Jl. Jombang - Ploso/Jl. Raya Tembelang | Continue onto Jl. Jemb. Ploso Baru | Continue onto Jl. Babat - Jombang/Jl. Raya Ploso - BabatContinue to follow Jl. Babat - Jombang | At the roundabout, take the 2nd exit onto Jl. Babat - Caruban/Jl. Raya Babat/Jl. Raya Babat - BojonegoroContinue to follow Jl. Babat - Caruban/Jl. Raya Babat | Turn right onto Jl. Kragan - Rembang - Surabaya/Jl. Raya Lengkong Babat/Jl. Raya Pantura/Jl. Raya Widang - Tuban/Jl. Tuban - Babat/Jl. Tuban - SurabayaContinue to follow Jl. Kragan - Rembang - Surabaya/Jl. Raya Pantura/Jl. Tuban - SurabayaPass by Warkop Giras (on the left) | Slight right onto Jl. PahlawanPass by the park (on the left in 1.6 km) | At the roundabout, take the 1st exit onto Jl. Basuki RachmadPass by BPJS Kesehatan Cabang Tuban (on the right in 850m) | At Raja Sepatu, continue onto Jl. Sunan Kalijogo | Turn left onto Jl. Walisongo | Turn left onto Jl. Walisongo II"
Kota Kediri; Kabupaten Blitar;47.0 km;1 hour 20 mins;Head east on Jl. Sunan Ampel III toward Jl. Sumber | Turn right onto Jl. Sumber | Turn left to stay on Jl. Sumber | Turn left onto Jl. Ngasinan | Turn right onto Jl. Kapten Tendean | At Silly Techno, continue onto Jl. Raya Kediri - BlitarPass by Kya-Kya 1 (on the right in 15.4 km) | Continue onto Jl. Raya Dandong Srengat | Continue onto Jl. Raya Bagelenan/Jl. Raya Kediri - BlitarContinue to follow Jl. Raya Bagelenan | Continue onto Jl. Raya Kediri - BlitarPass by Kedai Bakso Nyonyor 2 (on the right in 450m) | Continue onto Jl. TanjungPass by Activ Cellular Blitar (on the right in 700m) | At the roundabout, continue straight onto Jl. Cempaka | Continue onto Jl. Nasional III | Turn right onto Jl. Raya Tlogo - Serut/Jl. Veteran | At the roundabout, take the 1st exit onto Jl. Bali/Jl. Raya Tlogo - SerutContinue to follow Jl. Raya Tlogo - SerutPass by Toko Pojok (on the right in 1.3 km) | Continue onto Jl. Raya Gaprang/Jl. Raya Tlogo/Jl. Raya Tulungagung - BlitarContinue to follow Jl. Raya Tulungagung - BlitarPass by TELAGA BAKSO (on the right in 450m) | Continue onto Jl. Irian
Kota Kediri; Kabupaten Bojonegoro;90.4 km;2 hours 34 mins;Head east on Jl. Sunan Ampel III toward Jl. Sumber | Turn left onto Jl. Sumber | Turn left onto Jl. Perintis Kemerdekaan | Turn right after Masjid Nurul Huda (on the right)Pass by Indomaret Urip Sumoharjo Kediri (on the right in 650m) | Turn left onto Jl. Bandar Ngalim | Turn right after SK PHONE (on the left)Pass by Uchi Perfume (on the right) | At the roundabout, take the 2nd exit onto Jl. Jaksa Agung Suprapto | Jl. Jaksa Agung Suprapto turns slightly left and becomes Jl. Ahmad Dahlan/Jl. Raya Kediri - Nganjuk/Jl. Raya Prambon - KediriContinue to follow Jl. Raya Kediri - NganjukPass by SDN Pacekulon I (on the right in 17.6 km) | At Bund. Adipura, take the 4th exit onto Jl. Anjuk Ladang/Jl. Raya Kediri - Nganjuk | Turn left after Depo Air Minum Setia Kawan (on the left) | Turn right onto Jl. Lurah Kartoprawiro/Simpang Empat Candi - GuyanganContinue to follow Simpang Empat Candi - Guyangan | Turn left after Pos Polisi Simpang Empat Guyangan (on the left)Continue to follow Jl. Raya Madiun - Nganjuk/Jl. Raya Surabaya - Madiun | Turn right onto Jl. Pandan | Continue straight | Slight right | Turn right onto Jl. Sekar-Ngasem | Keep right | Continue onto Jl. Raya Setren | Continue onto Jl. Henggulurah | Turn left
Kota Kediri; Kabupaten Gresik;120 km;2 hours 3 mins;"Head east on Jl. Sunan Ampel III toward Jl. Sumber | Turn left onto Jl. Sumber | Turn left onto Jl. Perintis Kemerdekaan | Turn right after Masjid Nurul Huda (on the right)Pass by Indomaret Urip Sumoharjo Kediri (on the right in 650m) | Continue onto Jl. Panglima Sudirman | Turn left onto Jl. Kertosono-Kediri/Jl. Kertosono - Tulungagung/Jl. Yos SudarsoPass by Toko Mekar Jaya (on the right in 1.1 km) | Continue straight onto Jl. Kertosono-Kediri/Jl. Kertosono - Tulungagung/Jl. Mayjend Sungkono/Jl. Mayor Jend. SungkonoContinue to follow Jl. Kertosono-Kediri | Turn right onto Jl. Panglima Sudirman/Jl. Raya Baron/Jl. Raya Surabaya/Jl. Raya Surabaya - MadiunContinue to follow Jl. Panglima Sudirman/Jl. Raya Surabaya/Jl. Raya Surabaya - MadiunPass by Toko Okky (on the right) | Continue straight onto Jl. Panglima Sudirman/Jl. Raya Kayen/Jl. Raya Surabaya - Madiun | Slight <b>left</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>right</b> at the fork, follow signs for <b>Jombang</b>/<wbr/><b>Mojokerto</b>/<wbr/><b>Surabaya</b> and merge onto <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Mojokerto - Krian</b>/<wbr/><b>Jl. Tol Surabaya - Mojokerto</b><div style=""font-size:0.9em"">Toll road</div> | Take the exit toward Belahanrejo/Cerme/Gresik | Merge onto <b>Jl. Tol Manyar - Mojokerto</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Exit 28</b> (signs for <b>Kebomas</b>/<wbr/><b>Kota Gresik</b>/<wbr/><b>Lamongan</b>)<div style=""font-size:0.9em"">Toll road</div> | Keep left at the fork and merge onto Jl. DR. Wahidin Sudiro Husodo/Jl. Kragan - Rembang - Surabaya/Jl. Raya Gresik - Babat/Jl. Raya Gresik - Lamongan/Jl. Raya Pantura/Jl. Tuban - SurabayaContinue to follow Jl. Raya Gresik - Lamongan/Jl. Raya Pantura | Turn right onto Jl. Raya Gresik - Lamongan/Jl. Raya Lamongan Bu/Jl. Raya Pantura | Turn right onto Jl. Kragan - Rembang - Surabaya/Jl. Raya Ambeng Ambeng/Jl. Raya Gresik - Babat/Jl. Raya Gresik - Lamongan/Jl. Raya Pantura/Jl. Tuban - Surabaya | Continue straight onto Jl. DR. Wahidin Sudiro Husodo/Jl. Kragan - Rembang - Surabaya/Jl. Raya Gresik - Babat/Jl. Raya Gresik - Lamongan/Jl. Raya Pantura/Jl. Tuban - Surabaya | Turn left onto Jl. Kyai H. Syafiꞌi | Turn left onto Jl. Desa Tebalo | Turn right to stay on Jl. Desa Tebalo | Turn left onto Jalan K A I | Turn right"
Kota Kediri; Kabupaten Jombang;56.3 km;1 hour 27 mins;Head east on Jl. Sunan Ampel III toward Jl. Sumber | Turn left onto Jl. Sumber | Turn left onto Jl. Perintis Kemerdekaan | Turn right after Masjid Nurul Huda (on the right)Pass by Indomaret Urip Sumoharjo Kediri (on the right in 650m) | Continue onto Jl. Panglima Sudirman | Turn left onto Jl. Kertosono-Kediri/Jl. Kertosono - Tulungagung/Jl. Yos SudarsoPass by Toko Mekar Jaya (on the right in 1.1 km) | Continue straight onto Jl. Kertosono-Kediri/Jl. Kertosono - Tulungagung/Jl. Mayjend Sungkono/Jl. Mayor Jend. SungkonoContinue to follow Jl. Kertosono-Kediri | Turn right onto Jl. Panglima Sudirman/Jl. Raya Baron/Jl. Raya Surabaya/Jl. Raya Surabaya - MadiunContinue to follow Jl. Panglima Sudirman/Jl. Raya Surabaya/Jl. Raya Surabaya - MadiunPass by Toko Okky (on the right) | Continue straight onto Jl. Panglima Sudirman/Jl. Raya Kayen/Jl. Raya Surabaya - MadiunContinue to follow Jl. Panglima Sudirman/Jl. Raya Surabaya - MadiunPass by Perak Sub District Office (on the left in 5.6 km) | Turn right onto Jl. Jatipelem/Jl. Totok Kerot | Turn left onto Jl. Jatipelem - Diwek | Turn left onto Jl. Irian Jaya/Jl. Raya DiwekContinue to follow Jl. Irian Jaya | Turn right onto Jl. Raya Bandung/Jl. Raya CewengContinue to follow Jl. Raya Bandung | Continue onto Jl. Jogoroto | Turn left onto Jl. Jogoroto - Peterongan | Turn right onto Jl. Makam
Kota Kediri; Kabupaten Lamongan;150 km;2 hours 39 mins;"Head east on Jl. Sunan Ampel III toward Jl. Sumber | Turn left onto Jl. Sumber | Turn left onto Jl. Perintis Kemerdekaan | Turn right after Masjid Nurul Huda (on the right)Pass by Indomaret Urip Sumoharjo Kediri (on the right in 650m) | Continue onto Jl. Panglima Sudirman | Turn left onto Jl. Kertosono-Kediri/Jl. Kertosono - Tulungagung/Jl. Yos SudarsoPass by Toko Mekar Jaya (on the right in 1.1 km) | Continue straight onto Jl. Kertosono-Kediri/Jl. Kertosono - Tulungagung/Jl. Mayjend Sungkono/Jl. Mayor Jend. SungkonoContinue to follow Jl. Kertosono-Kediri | Turn right onto Jl. Panglima Sudirman/Jl. Raya Baron/Jl. Raya Surabaya/Jl. Raya Surabaya - MadiunContinue to follow Jl. Panglima Sudirman/Jl. Raya Surabaya/Jl. Raya Surabaya - MadiunPass by Toko Okky (on the right) | Continue straight onto Jl. Panglima Sudirman/Jl. Raya Kayen/Jl. Raya Surabaya - Madiun | Slight <b>left</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>right</b> at the fork, follow signs for <b>Jombang</b>/<wbr/><b>Mojokerto</b>/<wbr/><b>Surabaya</b> and merge onto <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Mojokerto - Krian</b>/<wbr/><b>Jl. Tol Surabaya - Mojokerto</b><div style=""font-size:0.9em"">Toll road</div> | Take the exit toward Belahanrejo/Cerme/Gresik | Merge onto <b>Jl. Tol Manyar - Mojokerto</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Exit 28</b> (signs for <b>Kebomas</b>/<wbr/><b>Kota Gresik</b>/<wbr/><b>Lamongan</b>)<div style=""font-size:0.9em"">Toll road</div> | Keep left at the fork and merge onto Jl. DR. Wahidin Sudiro Husodo/Jl. Kragan - Rembang - Surabaya/Jl. Raya Gresik - Babat/Jl. Raya Gresik - Lamongan/Jl. Raya Pantura/Jl. Tuban - SurabayaContinue to follow Jl. Raya Gresik - Lamongan/Jl. Raya Pantura | Turn right onto Jl. Raya Gresik - Lamongan/Jl. Raya Lamongan Bu/Jl. Raya Pantura | Turn left onto Jl. Kragan - Rembang - Surabaya/Jl. Raya Ambeng Ambeng/Jl. Raya Gresik - Babat/Jl. Raya Gresik - Lamongan/Jl. Raya Pantura/Jl. Tuban - Surabaya | Turn left onto Jl. Airlangga | Continue onto Jl. Raya Menongo | Continue onto Jl. Raya Sumberaji | Turn leftDestination will be on the right"
Kota Kediri; Kabupaten Pasuruan;182 km;3 hours 3 mins;"Head east on Jl. Sunan Ampel III toward Jl. Sumber | Turn left onto Jl. Sumber | Turn left onto Jl. Perintis Kemerdekaan | Turn right after Masjid Nurul Huda (on the right)Pass by Indomaret Urip Sumoharjo Kediri (on the right in 650m) | Continue onto Jl. Panglima Sudirman | Turn left onto Jl. Kertosono-Kediri/Jl. Kertosono - Tulungagung/Jl. Yos SudarsoPass by Toko Mekar Jaya (on the right in 1.1 km) | Continue straight onto Jl. Kertosono-Kediri/Jl. Kertosono - Tulungagung/Jl. Mayjend Sungkono/Jl. Mayor Jend. SungkonoContinue to follow Jl. Kertosono-Kediri | Turn right onto Jl. Panglima Sudirman/Jl. Raya Baron/Jl. Raya Surabaya/Jl. Raya Surabaya - MadiunContinue to follow Jl. Panglima Sudirman/Jl. Raya Surabaya/Jl. Raya Surabaya - MadiunPass by Toko Okky (on the right) | Continue straight onto Jl. Panglima Sudirman/Jl. Raya Kayen/Jl. Raya Surabaya - Madiun | Slight <b>left</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>right</b> at the fork, follow signs for <b>Jombang</b>/<wbr/><b>Mojokerto</b>/<wbr/><b>Surabaya</b> and merge onto <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Surabaya - Mojokerto</b><div style=""font-size:0.9em"">Toll road</div> | Take the exit toward <b>Gunungsari</b>/<wbr/><b>Dupak</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>right</b> at the fork and merge onto <b>Jl. Raya Pantura</b>/<wbr/><b>Jl. Tol Surabaya - Gempol</b>/<wbr/><b>Jl. Tol Surabaya - Porong</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Porong - Gempol</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Gempol - Pandaan</b><div style=""font-size:0.9em"">Toll road</div> | Take the <b>Gempol - Pasuruan</b> exit toward <b>Bangit</b>/<wbr/><b>Pasuruan</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Bangil - Rembang</b>/<wbr/><b>Jl. Tol Gempol - Pasuruan</b>/<wbr/><b>Jl. Tol Gempol - Rembang</b><div style=""font-size:0.9em"">Toll road</div> | Take the exit toward <b>Jl. Tol Bangil - Rembang</b>/<wbr/><b>Jl. Tol Gempol - Pasuruan</b>/<wbr/><b>Jl. Tol Gempol - Rembang</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Bangil - Rembang</b>/<wbr/><b>Jl. Tol Gempol - Pasuruan</b>/<wbr/><b>Jl. Tol Gempol - Rembang</b><div style=""font-size:0.9em"">Continue to follow Jl. Tol Gempol - Pasuruan</div><div style=""font-size:0.9em"">Toll road</div> | Turn right onto Jl. Urip Sumoharjo | Turn right after Fajar Motor (on the right) (signs for J/Malang) | Continue onto Jl. Raya Pleret | Continue onto Jl. Raya Warungdowo | Turn left onto Jl. Raya Warungdowo Timur/Kejayan - TosariContinue to follow Kejayan - Tosari | Turn right after Toko Sugiarto (on the right)Continue to follow Kejayan - Tosari | Turn right"
Kota Kediri; Kabupaten Kediri;27.6 km;45 mins;Head east on Jl. Sunan Ampel III toward Jl. Sumber | Turn left onto Jl. Sumber | Turn right onto Jl. Super Semar | At The Emerald Estate, continue onto Jl. Betet Bawang | Turn left onto Jl. Raya Bawang/Jl. Totok KerotContinue to follow Jl. Totok Kerot | Turn right onto Jl. Raya Wates/Jl. Raya Wates - Kediri | Sharp left | Turn right onto Jl. Carik Grojogan Janti | Turn left onto Jl. Raya No.1 | Continue onto Jl. Sersan Suharmaji | Turn right onto Jl. Ahmad Yani/Jl. Raya Kediri - PlosoklatenContinue to follow Jl. Raya Kediri - Plosoklaten | Continue onto Jl. Raya Brenggolo | Turn left onto Jl. Pare-Wates | Turn right onto Jl. Teladan | Turn leftDestination will be on the right
Kota Kediri; Kabupaten Banyuwangi;400 km;7 hours 42 mins;"Head east on Jl. Sunan Ampel III toward Jl. Sumber | Turn left onto Jl. Sumber | Turn left onto Jl. Perintis Kemerdekaan | Turn right after Masjid Nurul Huda (on the right)Pass by Indomaret Urip Sumoharjo Kediri (on the right in 650m) | Continue onto Jl. Panglima Sudirman | Turn left onto Jl. Kertosono-Kediri/Jl. Kertosono - Tulungagung/Jl. Yos SudarsoPass by Toko Mekar Jaya (on the right in 1.1 km) | Continue straight onto Jl. Kertosono-Kediri/Jl. Kertosono - Tulungagung/Jl. Mayjend Sungkono/Jl. Mayor Jend. SungkonoContinue to follow Jl. Kertosono-Kediri | Turn right onto Jl. Panglima Sudirman/Jl. Raya Baron/Jl. Raya Surabaya/Jl. Raya Surabaya - MadiunContinue to follow Jl. Panglima Sudirman/Jl. Raya Surabaya/Jl. Raya Surabaya - MadiunPass by Toko Okky (on the right) | Continue straight onto Jl. Panglima Sudirman/Jl. Raya Kayen/Jl. Raya Surabaya - Madiun | Slight <b>left</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>right</b> at the fork, follow signs for <b>Jombang</b>/<wbr/><b>Mojokerto</b>/<wbr/><b>Surabaya</b> and merge onto <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Surabaya - Mojokerto</b><div style=""font-size:0.9em"">Toll road</div> | Take the exit toward <b>Gunungsari</b>/<wbr/><b>Dupak</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>right</b> at the fork and merge onto <b>Jl. Raya Pantura</b>/<wbr/><b>Jl. Tol Surabaya - Gempol</b>/<wbr/><b>Jl. Tol Surabaya - Porong</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Porong - Gempol</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Gempol - Pandaan</b><div style=""font-size:0.9em"">Toll road</div> | Take the <b>Gempol - Pasuruan</b> exit toward <b>Bangit</b>/<wbr/><b>Pasuruan</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Bangil - Rembang</b>/<wbr/><b>Jl. Tol Gempol - Pasuruan</b>/<wbr/><b>Jl. Tol Gempol - Rembang</b><div style=""font-size:0.9em"">Toll road</div> | Turn right onto Jl. Raya Pajurangan/Jl. Raya Panglima Sudirman/Jl. Raya PanturaContinue to follow Jl. Raya Pantura | Continue straight onto Jl. Basuki Rahmat/Jl. Raya Banyuwangi Situbondo/Jl. Raya Pantura | Continue straight to stay on Jl. Basuki Rahmat/Jl. Raya Banyuwangi Situbondo/Jl. Raya PanturaContinue to follow Jl. Raya Pantura | Continue onto Jl. Nasional IIIPass by Budi Jaya Motor (on the right in 7.8 km) | Turn leftDestination will be on the right"
Kota Kediri; Kabupaten Sidoarjo;130 km;2 hours 15 mins;"Head east on Jl. Sunan Ampel III toward Jl. Sumber | Turn left onto Jl. Sumber | Turn left onto Jl. Perintis Kemerdekaan | Turn right after Masjid Nurul Huda (on the right)Pass by Indomaret Urip Sumoharjo Kediri (on the right in 650m) | Continue onto Jl. Panglima Sudirman | Turn left onto Jl. Kertosono-Kediri/Jl. Kertosono - Tulungagung/Jl. Yos SudarsoPass by Toko Mekar Jaya (on the right in 1.1 km) | Continue straight onto Jl. Kertosono-Kediri/Jl. Kertosono - Tulungagung/Jl. Mayjend Sungkono/Jl. Mayor Jend. SungkonoContinue to follow Jl. Kertosono-Kediri | Turn right onto Jl. Panglima Sudirman/Jl. Raya Baron/Jl. Raya Surabaya/Jl. Raya Surabaya - MadiunContinue to follow Jl. Panglima Sudirman/Jl. Raya Surabaya/Jl. Raya Surabaya - MadiunPass by Toko Okky (on the right) | Continue straight onto Jl. Panglima Sudirman/Jl. Raya Kayen/Jl. Raya Surabaya - Madiun | Slight <b>left</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>right</b> at the fork, follow signs for <b>Jombang</b>/<wbr/><b>Mojokerto</b>/<wbr/><b>Surabaya</b> and merge onto <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Surabaya - Mojokerto</b><div style=""font-size:0.9em"">Toll road</div> | Take the exit toward <b>Gunungsari</b>/<wbr/><b>Dupak</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>right</b> at the fork and merge onto <b>Jl. Raya Pantura</b>/<wbr/><b>Jl. Tol Surabaya - Gempol</b>/<wbr/><b>Jl. Tol Surabaya - Porong</b><div style=""font-size:0.9em"">Toll road</div> | Take exit <b>28</b> toward <b>Krian</b><div style=""font-size:0.9em"">Toll road</div> | Slight <b>left</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto Jl. Jati Raya | Sharp right to stay on Jl. Jati Raya | Continue straight to stay on Jl. Jati Raya (signs for Krian)Pass by AA Las Knalpot (on the left in 650m) | Continue onto Jl. Raya Cemeng KalangPass by Alfamidi convenience store (on the right) | Turn left onto Jl. Raya Suko | At Asmoro Motor, Jl. Raya Suko turns slightly left and becomes Jl. Raya Lebo | Turn left | Turn right after Kopi Selir 5758 Lebo (on the right)Pass by Sumber Tani (on the right in 1.2 km) | Turn left onto Jl. Jenderal Sudirman | Turn left onto Jl. Balai Desa Sudimoro | Turn leftDestination will be on the right"
Kota Kediri; Kabupaten Jember;291 km;5 hours 12 mins;"Head east on Jl. Sunan Ampel III toward Jl. Sumber | Turn left onto Jl. Sumber | Turn left onto Jl. Perintis Kemerdekaan | Turn right after Masjid Nurul Huda (on the right)Pass by Indomaret Urip Sumoharjo Kediri (on the right in 650m) | Continue onto Jl. Panglima Sudirman | Turn left onto Jl. Kertosono-Kediri/Jl. Kertosono - Tulungagung/Jl. Yos SudarsoPass by Toko Mekar Jaya (on the right in 1.1 km) | Continue straight onto Jl. Kertosono-Kediri/Jl. Kertosono - Tulungagung/Jl. Mayjend Sungkono/Jl. Mayor Jend. SungkonoContinue to follow Jl. Kertosono-Kediri | Turn right onto Jl. Panglima Sudirman/Jl. Raya Baron/Jl. Raya Surabaya/Jl. Raya Surabaya - MadiunContinue to follow Jl. Panglima Sudirman/Jl. Raya Surabaya/Jl. Raya Surabaya - MadiunPass by Toko Okky (on the right) | Continue straight onto Jl. Panglima Sudirman/Jl. Raya Kayen/Jl. Raya Surabaya - Madiun | Slight <b>left</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>right</b> at the fork, follow signs for <b>Jombang</b>/<wbr/><b>Mojokerto</b>/<wbr/><b>Surabaya</b> and merge onto <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | <b>Jl. Tol Mojokerto - Kertosono</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Surabaya - Mojokerto</b><div style=""font-size:0.9em"">Toll road</div> | Take the exit toward <b>Gunungsari</b>/<wbr/><b>Dupak</b><div style=""font-size:0.9em"">Toll road</div> | Keep <b>right</b> at the fork and merge onto <b>Jl. Raya Pantura</b>/<wbr/><b>Jl. Tol Surabaya - Gempol</b>/<wbr/><b>Jl. Tol Surabaya - Porong</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Porong - Gempol</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Gempol - Pandaan</b><div style=""font-size:0.9em"">Toll road</div> | Take the <b>Gempol - Pasuruan</b> exit toward <b>Bangit</b>/<wbr/><b>Pasuruan</b><div style=""font-size:0.9em"">Toll road</div> | Continue onto <b>Jl. Tol Bangil - Rembang</b>/<wbr/><b>Jl. Tol Gempol - Pasuruan</b>/<wbr/><b>Jl. Tol Gempol - Rembang</b><div style=""font-size:0.9em"">Toll road</div> | Take exit <b>840</b> toward <b>Lumajang</b><div style=""font-size:0.9em"">Toll road</div> | Merge onto Jl. Probolinggo - Wonorejo/Jl. Raya LecesContinue to follow Jl. Probolinggo - Wonorejo | Turn left onto Jl. Randu Agung | Continue onto Jl. Raya Randuagung | Turn left | Continue onto Jl. Raya Randuagung | Continue onto Jl. Raya Gedangmas | Turn right onto Jl. Tunjung | Continue onto Jl. Sultan Agung | Continue onto Jl. Raya Sembon Jatiroto | Jl. Raya Sembon Jatiroto turns right and becomes Jl. Randu Agung Jatiroto | Continue onto Jl. PB.Sudirman | Slight left onto Jl. Nasional III | Slight left to stay on Jl. Nasional IIIPass by Rahayu Cell (on the right in 6.2 km) | Continue straight to stay on Jl. Nasional III | Make a U-turn | Turn left"
Kota Kediri; Kabupaten Malang;120 km;3 hours 28 mins;Head east on Jl. Sunan Ampel III toward Jl. Sumber | Turn right onto Jl. Sumber | Turn left to stay on Jl. Sumber | Turn left onto Jl. Ngasinan | Turn right onto Jl. Kapten Tendean | At Silly Techno, continue onto Jl. Raya Kediri - BlitarPass by Kya-Kya 1 (on the right in 15.4 km) | Continue onto Jl. Raya Dandong Srengat | Continue onto Jl. Raya Bagelenan/Jl. Raya Kediri - BlitarContinue to follow Jl. Raya Bagelenan | Continue onto Jl. Raya Kediri - BlitarPass by Kedai Bakso Nyonyor 2 (on the right in 450m) | Continue onto Jl. TanjungPass by Activ Cellular Blitar (on the right in 700m) | At the roundabout, continue straight onto Jl. Cempaka | Continue onto Jl. Nasional III | Turn right onto Jl. Raya Tlogo - Serut/Jl. Veteran | At the roundabout, take the 1st exit onto Jl. Bali/Jl. Raya Tlogo - SerutContinue to follow Jl. Raya Tlogo - SerutPass by Toko Pojok (on the right in 1.3 km) | Continue onto Jl. Raya Gaprang/Jl. Raya Tlogo/Jl. Raya Tulungagung - BlitarContinue to follow Jl. Raya Tulungagung - BlitarPass by TELAGA BAKSO (on the right in 450m) | Continue onto Jl. Irian | Continue onto Jl. Soekarno Hatta | Continue onto Jl. Singajaya | Jl. Singajaya turns slightly right and becomes Jl. Raya Bendosewu | Turn right to stay on Jl. Raya Bendosewu | Continue onto Jl. Proyek Wlingi Raya | Continue onto Jl. Raya DurenPass by Toko Pertanian Guna Tani (on the left) | Turn left | Continue onto Jl. Raya Jatitengah | Continue onto Jl. Raya Selopuro | Continue onto Jl. Raya Ploso | Continue onto Jl. Hasan Ahmad | Turn right to stay on Jl. Hasan Ahmad | Turn right onto Jl. Nasional III | Turn right onto Jl. Kembar/Jl. Simpang TigaContinue to follow Jl. Kembar | Continue onto Jl. Bend. Lahor | Turn left after Warung Anda Mbak Asih (on the left) | Turn right to stay on Jl. Nasional III | Turn left to stay on Jl. Nasional IIIPass by BMT UGT Sidogiri (on the left in 8.7 km) | Turn right onto Jl. Hamid Rusdi | Continue onto Jl. Ringin Raya | Slight left at Jl. Gudang Raya | Turn right | Turn leftDestination will be on the right
